name,catNum,category,ogMin,ogMax,fgMin,fgMax,abvMin,abvMax,ibuMin,ibuMax,srmMin,srmMax
Lite American Lager,1A,Light Lager,1.028,1.04,0.998,1.008,2.8,4.2,8,12,2,3
Standard American Lager,1B,Light Lager,1.04,1.05,1.004,1.01,4.2,5.1,8,15,2,4
Premium American Lager,1C,Light Lager,1.046,1.056,1.008,1.012,4.6,6,15,25,2,6
Munich Helles,1D,Light Lager,1.045,1.051,1.008,1.012,4.7,5.4,16,22,3,5
Dortmunder Export,1E,Light Lager,1.048,1.056,1.01,1.015,4.8,6,23,30,4,6
German Pilsner (Pils),2A,Pilsner,1.044,1.05,1.008,1.013,4.4,5.2,25,45,2,5
Bohemian Pilsner,2B,Pilsner,1.044,1.056,1.013,1.017,4.2,5.4,35,45,3.5,6
Classic American Pilsner,2C,Pilsner,1.044,1.06,1.01,1.015,4.5,6,25,40,3,6
Vienna Lager,3A,European Amber Lager,1.046,1.052,1.01,1.014,4.5,5.5,18,30,10,16
Oktoberfest/M&atilde;rzen,3B,European Amber Lager,1.05,1.057,1.012,1.016,4.8,5.7,20,28,7,14
Dark American Lager,4A,Dark Lager,1.044,1.056,1.008,1.012,4.2,6,8,20,14,22
Munich Dunkel,4B,Dark Lager,1.048,1.056,1.01,1.016,4.5,5.6,18,28,14,28
Schwarzbier (Black Beer),4C,Dark Lager,1.046,1.052,1.01,1.016,4.4,5.4,22,32,17,30
Mailbock/Helles Bock,5A,Bock,1.064,1.072,1.011,1.018,6.3,7.4,23,35,6,11
Traditional Bock,5B,Bock,1.064,1.072,1.013,1.019,6.3,7.2,20,27,14,22
Doppelbock,5C,Bock,1.072,1.112,1.016,1.024,7,10,16,26,6,25
Eisbock,5D,Bock,1.078,1.12,1.02,1.035,9,14,25,35,18,30
Cream Ale,6A,Light Hybrid Beer,1.042,1.055,1.006,1.012,4.2,5.6,15,20,2.5,5
Blonde Ale,6B,Light Hybrid Beer,1.038,1.054,1.008,1.013,3.8,5.5,15,28,3,6
K&ouml;lsch,6C,Light Hybrid Beer,1.044,1.05,1.007,1.011,4.4,5.2,20,30,3.5,5
American Wheat or Rye Beer,6D,Light Hybrid Beer,1.04,1.055,1.008,1.013,4,5.5,15,30,3,6
Northern German Altbier,7A,Amber Hybrid Beer,1.046,1.054,1.01,1.015,4.5,5.2,25,40,13,19
California Common Beer,7B,Amber Hybrid Beer,1.048,1.054,1.011,1.014,4.5,5.5,30,45,10,14
Düsseldorf Altbier,7C,Amber Hybrid Beer,1.046,1.054,1.01,1.015,4.5,5.2,35,50,11,17
Standard/Ordinary Bitter,8A,English Pale Ale,1.032,1.04,1.007,1.011,3.2,3.8,25,35,4,14
Special/Best/Premium Bitter,8B,English Pale Ale,1.04,1.048,1.008,1.012,3.8,4.6,25,40,5,16
Extra Special/Strong Bitter,8C,English Pale Ale,1.048,1.06,1.01,1.016,4.6,6.2,30,50,6,18
